assay_chembl_id,assay_description,assay_type,canonical_smiles,document_chembl_id,molecule_chembl_id,pchembl_value,relation,standard_relation,standard_type,standard_units,standard_value,target_chembl_id,type,units,value,target_name,target_organism,data_source,std_smiles,pIC50,activity_class,scaffold
CHEMBL2438204,Antiprotozoal activity against axenic amastigote form of Leishmania donovani MHOM/ET/67/L82 assessed as parasite growth inhibition,F,COc1cc2c(cc1C(C)NCC1CCCCC1)C=CC(C)(C)O2,CHEMBL2434884,CHEMBL2435435,,=,=,IC50,nM,139000.0,CHEMBL367,IC50,uM,139.0,L_donovani,Leishmania donovani,ChEMBL,COc1cc2c(cc1C(C)NCC1CCCCC1)C=CC(C)(C)O2,3.856985199745905,Inactive,C1=Cc2cc(CNCC3CCCCC3)ccc2OC1
CHEMBL2028073,MMV: Inhibition of Trypanosoma cruzi (Tulahuen C4 LacZ) (Chagas in vitro).,F,CCOC(=O)C1CCN(C(=O)CN2C(=O)c3ccccc3C2c2c[nH]c3ccccc23)CC1,CHEMBL2028040,CHEMBL601612,4.83,=,=,IC50,nM,14732.73,CHEMBL368,IC50,uM,14.732725143432615,T_cruzi,Trypanosoma cruzi,ChEMBL,CCOC(=O)C1CCN(C(=O)CN2C(=O)c3ccccc3C2c2c[nH]c3ccccc23)CC1,4.83171677019201,Inactive,O=C(CN1C(=O)c2ccccc2C1c1c[nH]c2ccccc12)N1CCCCC1
CHEMBL5586013,Antitrypanosomal activity against epimastigote form of Trypanosoma cruzi CL Brener assessed as reduction in parasite growth incubated for 72 hrs by alamar blue dye based fluorescence analysis,F,CC(C)CC(=O)N1CCC[C@H]1C(=O)O,CHEMBL5584269,CHEMBL5596985,4.76,=,=,EC50,nM,17400.0,CHEMBL368,EC50,uM,17.4,T_cruzi,Trypanosoma cruzi,ChEMBL,CC(C)CC(=O)N1CCC[C@H]1C(=O)O,4.7594507517174005,Inactive,C1CCNC1
CHEMBL1697541,Antitrypanosomal activity against Trypanosoma cruzi Tulahuen C2C4 trypomastigote after 48 hrs,F,CC(C)(C)OC(=O)NCCCCCCCCCCCCNC1CCN(CCc2ccccc2)CC1,CHEMBL1687739,CHEMBL1688650,5.5,=,=,IC50,nM,3160.0,CHEMBL368,IC50,uM,3.16,T_cruzi,Trypanosoma cruzi,ChEMBL,CC(C)(C)OC(=O)NCCCCCCCCCCCCNC1CCN(CCc2ccccc2)CC1,5.5003129173815966,Active,c1ccc(CCN2CCCCC2)cc1
CHEMBL4006644,Antitrypanosomal activity against Trypanosoma cruzi Y amastigote forms infected in human U2OS cells after 96 hrs by Draq5 staining-based high content analysis,F,CC(C)(O)c1cc2c(-c3ccsc3)nccc2[nH]1,CHEMBL4004845,CHEMBL4072139,,=,=,EC50,nM,106000.0,CHEMBL368,EC50,uM,106.0,T_cruzi,Trypanosoma cruzi,ChEMBL,CC(C)(O)c1cc2c(-c3ccsc3)nccc2[nH]1,3.9746941347352296,Inactive,c1cc2[nH]ccc2c(-c2ccsc2)n1
CHEMBL2378260,Antileishmanial activity against antimony-resistant Leishmania infantum MCAN/BR/2002/BH400 promastigote infected in Swiss mouse peritoneal macrophages after 72 hrs,F,CC1(C)OC2=C(C(=O)C(=O)c3ccccc32)C1n1cc(-c2ccc([N+](=O)[O-])cc2)nn1,CHEMBL2375264,CHEMBL2023279,5.48,=,=,IC50,nM,3265.0,CHEMBL612848,IC50,uM,3.28,L_infantum,Leishmania infantum,ChEMBL,CC1(C)OC2=C(C(=O)C(=O)c3ccccc32)C1n1cc(-c2ccc([N+](=O)[O-])cc2)nn1,5.486116814388907,Active,O=C1C(=O)c2ccccc2C2=C1C(n1cc(-c3ccccc3)nn1)CO2
CHEMBL2422957,Antileishmanial activity against amastigotes of Leishmania donovani MHOM/SD/62/IS-CL2D,F,N=C(N)c1ccc(COc2ccc(C(=N)N)cc2I)cc1,CHEMBL2417357,CHEMBL2418015,5.71,=,=,IC50,nM,1940.0,CHEMBL367,IC50,uM,1.94,L_donovani,Leishmania donovani,ChEMBL,N=C(N)c1ccc(COc2ccc(C(=N)N)cc2I)cc1,5.7121982700697735,Active,c1ccc(COc2ccccc2)cc1
CHEMBL4045491,Antiparasitic activity against Leishmania donovani MHOM-ET-67/L82 axenic amastigotes after 72 hrs by Alamar blue assay,F,Cc1cc(C)c(C)c(S(=O)(=O)N2c3ccccc3CCC2C)c1C,CHEMBL4043153,CHEMBL4063225,6.21,=,=,IC50,nM,620.0,CHEMBL367,IC50,uM,0.62,L_donovani,Leishmania donovani,ChEMBL,Cc1cc(C)c(C)c(S(=O)(=O)N2c3ccccc3CCC2C)c1C,6.2076083105017466,Active,O=S(=O)(c1ccccc1)N1CCCc2ccccc21
CHEMBL853376,Antileishmanial activity against Leishmania donovani axenic amastigotes,F,O=S(=O)(Nc1ccc(Oc2ccc(C(F)(F)F)cc2)cc1)c1cc(Cl)c(Cl)cc1Cl,CHEMBL1138888,CHEMBL210607,4.6,=,=,IC50,nM,25000.0,CHEMBL367,IC50,uM,25.0,L_donovani,Leishmania donovani,ChEMBL,O=S(=O)(Nc1ccc(Oc2ccc(C(F)(F)F)cc2)cc1)c1cc(Cl)c(Cl)cc1Cl,4.6020599913279625,Inactive,O=S(=O)(Nc1ccc(Oc2ccccc2)cc1)c1ccccc1
CHEMBL5528144,Antileishmanial activity against Leishmania infantum MHOM/BR/1972/BH46 promastigotes assessed as reduction in parasite viability measured for 48 hrs by PI staining based flow cytometry analysis,F,CCCc1cc(OC)c2oc(=O)c(C(=O)c3ccc([N+](=O)[O-])cc3)cc2c1,CHEMBL5528001,CHEMBL5205009,4.92,=,=,IC50,nM,6800.0,CHEMBL612848,IC50,uM,12.0,L_infantum,Leishmania infantum,ChEMBL,CCCc1cc(OC)c2oc(=O)c(C(=O)c3ccc([N+](=O)[O-])cc3)cc2c1,5.167491087293763,Active,O=C(c1ccccc1)c1cc2ccccc2oc1=O
CHEMBL4815968,Antitrypanosomal activity against Trypanosoma cruzi Tulahuen CL2 infected in human MRC5 cells assessed as inhibition of parasite growth incubated for 7 days by chlorophenol red-fl-D-galactopyranoside based spectrophotometric analysis,F,Nc1ncnc2c1c(Br)cn2[C@@H]1O[C@H](CO)[C@H](F)[C@H]1O,CHEMBL4813968,CHEMBL4859430,5.13,=,=,EC50,nM,7460.0,CHEMBL368,EC50,uM,7.46,T_cruzi,Trypanosoma cruzi,ChEMBL,Nc1ncnc2c1c(Br)cn2[C@@H]1O[C@H](CO)[C@H](F)[C@H]1O,5.127261172527331,Active,c1ncc2ccn([C@H]3CCCO3)c2n1
CHEMBL1863510,"DNDI: Inhibition of Chagas Disease parasite Trypanosoma cruzi (Tulahuen LacZ, Clone C4), in vitro.",F,N#Cc1ccc(C(c2cccnc2)N2CCC(NC(=O)c3ccccc3F)CC2)cc1,CHEMBL1862790,CHEMBL1863122,7.63,=,=,IC50,nM,23.5,CHEMBL368,IC50,uM,0.0235,T_cruzi,Trypanosoma cruzi,ChEMBL,N#Cc1ccc(C(c2cccnc2)N2CCC(NC(=O)c3ccccc3F)CC2)cc1,7.628932137728263,Active,O=C(NC1CCN(C(c2ccccc2)c2cccnc2)CC1)c1ccccc1
CHEMBL4136730,Antileishmanial activity against Leishmania donovani MHOM/SD/75/1246/130 axenic amastigotes infected in mouse J774A.1 cells after 72 hrs by Draq5 staining based assay,F,C=C(C)[C@@H]1/C=C/[C@]23O[C@H]2[C@H](C[C@](C)(O)[C@@H](OC(C)=O)c2cc(C=O)c(o2)C1)OC3=O,CHEMBL4130600,CHEMBL4161167,4.92,=,=,IC50,nM,12000.0,CHEMBL367,IC50,uM,12.0,L_donovani,Leishmania donovani,ChEMBL,C=C(C)[C@@H]1/C=C/[C@]23O[C@H]2[C@H](C[C@](C)(O)[C@@H](OC(C)=O)c2cc(C=O)c(o2)C1)OC3=O,4.920818753952375,Inactive,O=C1O[C@H]2CCCc3ccc(o3)CC/C=C/[C@@]13O[C@@H]23
CHEMBL3431448,"GSK_TCAKS: pIC50 Trypanosoma cruzi Imaging: Amastigotes/Cell. H9c2 cells were seeded in T-225 flasks (225cm^2 culture surface; Corning Inc., NY, USA) in DMEM-10% FBS for 4h to allow attachment. Cells were then washed once with PBS before infection. T. cruzi trypomastigotes, collected at days 5 to 8 after infection from LLC-MK2 parasite infected cultures, were allowed to swim out for 4h at 37C from a centrifuged pellet (2,500 rpm/10 min/room temperature). Trypomastigotes were then collected and counted in a CASY Cell Counter. Trypomastigotes, in supplemented DMEM, were added to H9c2 cultures in a multiplicity of infection of 1 and incubated for 18 h. Cells were washed once with PBS before incubation of the infected H9c2 monolayer with trypsin (Life-Technologies) to detach cells from the flask. Cells were counted in a CASY Cell Counter using a 150 um capillary and their density set at 5 * 10^4 cells per mL in supplemented assay DMEM. Infected H9c2 were dispensed into 384-well poly-lysine coated assay plates at 50uL per well using a Multidrop Combi dispenser. After seeding them, the plates were incubated at 37C, 5% CO2 for 72h. Cultures were then fixed and stained by addition of 50 uL of a solution containing 8% formaldehyde and 4 uM DRAQ5 DNA dye (BioStatus, UK) per well. Plates were kept light-protected and imaged one hour later in a Perkin-Elmer Opera microscope using a 20x air objective (NA 0.4) and the following acquisition set: a 635 nm laser excitation line and a 690/50 emission detection filter for DRAQ5 detection. Five images were collected per well for reliable statistical analysis. Automated image analysis was performed with a script developed on Acapella High Content Imaging and Analysis Software (PerkinElmer). Output: number of amastigotes per cell as infection level measurement.",F,Cn1nc(-c2ccc(NC(=O)Cc3ccccc3Cl)cc2)c2c(N)ncnc21,CHEMBL3430912,CHEMBL3431278,6.0,=,=,IC50,nM,1627.095,CHEMBL368,pIC50,,6.0,T_cruzi,Trypanosoma cruzi,ChEMBL,Cn1nc(-c2ccc(NC(=O)Cc3ccccc3Cl)cc2)c2c(N)ncnc21,5.788587089490118,Active,O=C(Cc1ccccc1)Nc1ccc(-c2n[nH]c3ncncc23)cc1
CHEMBL4771281,Antileishmanial activity against Leishmania infantum MHOM/MA/67/ITMAP-263 infected in THP1 cells assessed as reduction in parasite growth incubated for 120 hrs by Giemsa staining based inverted microscopic analysis,F,C=CCOC1(C(=C)c2nc(-c3ccccc3)no2)C(=O)N(CC)c2ccccc21,CHEMBL4765358,CHEMBL4786119,4.97,=,=,IC50,nM,10720.0,CHEMBL612848,IC50,uM,10.72,L_infantum,Leishmania infantum,ChEMBL,C=CCOC1(C(=C)c2nc(-c3ccccc3)no2)C(=O)N(CC)c2ccccc21,4.969805214643249,Inactive,C=C(c1nc(-c2ccccc2)no1)C1C(=O)Nc2ccccc21
CHEMBL4343673,Antileishmanial activity against amastigote stage of Leishmania infantum MHOM/MA(BE)/67/ITMAP263 infected in mouse peritoneal macrophage assessed as parasite growth inhibition incubated for 5 days by Giemsa staining based assay,F,Cc1ccoc1C(=O)N1CCCC(c2cc3ncccc3[nH]2)C1,CHEMBL4342426,CHEMBL4474408,4.19,=,=,IC50,nM,64000.0,CHEMBL612848,IC50,uM,64.0,L_infantum,Leishmania infantum,ChEMBL,Cc1ccoc1C(=O)N1CCCC(c2cc3ncccc3[nH]2)C1,4.1938200260161125,Inactive,O=C(c1ccco1)N1CCCC(c2cc3ncccc3[nH]2)C1
CHEMBL5586015,Antileishmanial activity against promastigote form of Leishmania donovani assessed as reduction in parasite growth incubated for 72 hrs by alamar blue dye based fluorescence analysis,F,O=C(O)[C@H]1CCCN1C(=O)CCSCc1ccccc1,CHEMBL5584269,CHEMBL5596170,4.4,=,=,EC50,nM,39800.0,CHEMBL367,EC50,uM,39.8,L_donovani,Leishmania donovani,ChEMBL,O=C(O)[C@H]1CCCN1C(=O)CCSCc1ccccc1,4.400116927926312,Inactive,O=C(CCSCc1ccccc1)N1CCCC1
CHEMBL5355460,Antitrypanosomal activity against Trypanosoma cruzi arequipa strain trypomastigotes assessed as parasite growth inhibition incubated for 48 hrs by resazurin staining based analysis,F,Cc1ccc(S(=O)(=O)Nc2ccc([Se][Se]c3ccc(NS(=O)(=O)c4ccc(C)cc4)cc3)cc2)cc1,CHEMBL5352465,CHEMBL3113800,5.43,=,=,IC50,nM,4200.0,CHEMBL368,IC50,uM,3.7,T_cruzi,Trypanosoma cruzi,ChEMBL,Cc1ccc(S(=O)(=O)Nc2ccc([Se][Se]c3ccc(NS(=O)(=O)c4ccc(C)cc4)cc3)cc2)cc1,5.376750709602099,Active,O=S(=O)(Nc1ccc([Se][Se]c2ccc(NS(=O)(=O)c3ccccc3)cc2)cc1)c1ccccc1
CHEMBL961735,Antiprotozoal activity against Leishmania donovani MHOM/SD/62/1S-CL2D axenic amastigotes after 72 hrs,F,CC(C)NC(=N)c1cccc(OCCCCCCOc2cccc(C(=N)NC(C)C)c2)c1.Cl.Cl,CHEMBL1153346,CHEMBL3216889,4.94,=,=,IC50,nM,11600.0,CHEMBL367,IC50,uM,11.6,L_donovani,Leishmania donovani,ChEMBL,CC(C)NC(=N)c1cccc(OCCCCCCOc2cccc(C(=N)NC(C)C)c2)c1,4.935542010773082,Inactive,c1ccc(OCCCCCCOc2ccccc2)cc1
CHEMBL5368988,Antileishmanial activity against Leishmania donovani MHOM/ET/67/HU3 promastigotes assessed as inhibition of parasite growth incubated for 72 hrs by MTT assay,F,N=C(Nc1ccc(NC(=O)c2ccc(NC(=N)c3ccccn3)cn2)nc1)c1ccccn1.O=C(O)C(F)(F)F.O=C(O)C(F)(F)F,CHEMBL5365499,CHEMBL5396668,6.01,=,=,EC50,nM,760.0,CHEMBL367,EC50,uM,0.97,L_donovani,Leishmania donovani,ChEMBL,N=C(Nc1ccc(NC(=O)c2ccc(NC(=N)c3ccccn3)cn2)nc1)c1ccccn1,6.119186407719209,Active,N=C(Nc1ccc(NC(=O)c2ccc(NC(=N)c3ccccn3)cn2)nc1)c1ccccn1
CHEMBL4234777,Antileishmanial activity against Leishmania donovani MHOM/ET/67/L82 axenic amastigotes after 70 hrs by alamar blue staining based fluorescence assay,F,CCOC(=O)/C=C/C(=O)[C@H](CCc1ccccc1)NC(=O)[C@H](CC(C)C)NC(=O)OCc1ccccc1,CHEMBL4229471,CHEMBL4245127,7.05,=,=,IC50,nM,90.0,CHEMBL367,IC50,uM,0.09,L_donovani,Leishmania donovani,ChEMBL,CCOC(=O)/C=C/C(=O)[C@H](CCc1ccccc1)NC(=O)[C@H](CC(C)C)NC(=O)OCc1ccccc1,7.045757490560675,Active,O=C(CNC(=O)OCc1ccccc1)NCCCc1ccccc1
CHEMBL928703,Antileishmanial activity against Leishmania amazonensis IFLA/BR/67 promastigotes at pH 8.0 after 72 hrs,F,CCCCCCCCCCCCC/C=C1/CCC[C@H](OCc2ccccc2)[C@H]1N(CC)CC,CHEMBL1140784,CHEMBL403198,,=,=,IC50,nM,157000.0,CHEMBL612877,IC50,uM,157.0,L_amazonensis,Leishmania amazonensis,ChEMBL,CCCCCCCCCCCCC/C=C1/CCC[C@H](OCc2ccccc2)[C@H]1N(CC)CC,3.804100347590766,Inactive,C=C1CCC[C@H](OCc2ccccc2)C1
CHEMBL4618068,Antileishmanial activity against Leishmania donovani MHOM/SD/75/1246/130 amastigotes infected in mouse J774A.1 cells incubated for 72 hrs by DRAQ5 fluorescent probe based assay,F,CO[C@H]1O[C@@H](OC)c2c1ccc([C@@]1(C)CCCC(C)(C)C1)c2[C@@H](C)C(=O)O,CHEMBL4616650,CHEMBL463558,5.18,=,=,IC50,nM,6600.0,CHEMBL367,IC50,uM,6.6,L_donovani,Leishmania donovani,ChEMBL,CO[C@H]1O[C@@H](OC)c2c1ccc([C@@]1(C)CCCC(C)(C)C1)c2[C@@H](C)C(=O)O,5.180456064458132,Active,c1cc2c(cc1C1CCCCC1)COC2
CHEMBL813356,In vitro inhibition of compound against Trypanosoma cruzi was determined,F,O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)c2nc(-c3ccccc3)c(-c3ccccc3)nc12,CHEMBL1134037,CHEMBL3143659,4.46,=,=,IC50,nM,35000.0,CHEMBL368,IC50,uM,35.0,T_cruzi,Trypanosoma cruzi,ChEMBL,O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)c2nc(-c3ccccc3)c(-c3ccccc3)nc12,4.455931955649724,Inactive,O=c1[nH]c(=O)n([C@H]2CCCO2)c2nc(-c3ccccc3)c(-c3ccccc3)nc12
CHEMBL2448754,DNDI: Chagas in Vitro,F,CS(=O)(=O)N(Cc1cnc[nH]1)c1ccc(-c2nc3ccccc3s2)cc1,CHEMBL2448688,CHEMBL2448735,9.82,=,=,IC50,nM,0.19,CHEMBL368,IC50,uM,0.00015,T_cruzi,Trypanosoma cruzi,ChEMBL,CS(=O)(=O)N(Cc1cnc[nH]1)c1ccc(-c2nc3ccccc3s2)cc1,9.721246399047171,Active,c1ccc2sc(-c3ccc(NCc4cnc[nH]4)cc3)nc2c1
CHEMBL1107426,Antileishmanial activity against Leishmania donovani by DNA fluorescence assay,F,C#CCCCC[C@@H](C)C(=O)N(C)[C@H](C(=O)N(C)[C@H](C(=O)N(C)[C@H](C(=O)N(C)[C@@H](C)C(=O)N(C)[C@@H](Cc1ccccc1)C(N)=O)C(C)C)C(C)C)C(C)C,CHEMBL1157819,CHEMBL1097668,5.8,=,=,IC50,nM,1600.0,CHEMBL367,IC50,uM,1.6,L_donovani,Leishmania donovani,ChEMBL,C#CCCCC[C@@H](C)C(=O)N(C)[C@H](C(=O)N(C)[C@H](C(=O)N(C)[C@H](C(=O)N(C)[C@@H](C)C(=O)N(C)[C@@H](Cc1ccccc1)C(N)=O)C(C)C)C(C)C)C(C)C,5.795880017344075,Active,c1ccccc1
CHEMBL3431451,"GSK_TCAKS: pIC50 Leishmania donovani Imaging: Infected Macrophages. Assay plates (384-well) were prepared by adding 250nL of compound to each well. For single shot assay, the final compound concentration was 5 uM. For potency determinations, eleven-point one in three dilution curves were generated with a top concentration of 50 uM. Two exposure images were taken for each well using 405 nm and 488 nm laser excitation. Automated image analysis was performed with a script developed on Acapella High Content Imaging and Analysis Software (PerkinElmer). Output: Percent of infected macrophage cells were reported for each well.",F,N#Cc1ccc(C(=O)Nc2cccc(-c3cccc(CN4CCC(O)CC4)c3)c2)cc1.O=C(O)C(F)(F)F,CHEMBL3430912,CHEMBL3430967,4.8,=,=,IC50,nM,15848.93,CHEMBL367,pIC50,,4.8,L_donovani,Leishmania donovani,ChEMBL,N#Cc1ccc(C(=O)Nc2cccc(-c3cccc(CN4CCC(O)CC4)c3)c2)cc1,4.800000052738446,Inactive,O=C(Nc1cccc(-c2cccc(CN3CCCCC3)c2)c1)c1ccccc1
CHEMBL4417342,Antileishmanial activity against Leishmania infantum MHOM/MA/67/ITMAP-263 axenic amastigotes assessed as inhibition of parasitic metabolic activity incubated for 48 hrs by steady Glow reagent based luminescence assay,F,C=C(C(C)C)[C@H](O)C[C@@H](C)[C@H]1CC[C@@]2(C)[C@@H]3CC[C@H]4[C@H](C)[C@@H](O[C@@H]5OC[C@H](O)[C@H](O)[C@H]5O)CC[C@]4(O)CC3=CC[C@]12C,CHEMBL4414669,CHEMBL4536830,5.11,=,=,IC50,nM,7700.0,CHEMBL612848,IC50,uM,7.7,L_infantum,Leishmania infantum,ChEMBL,C=C(C(C)C)[C@H](O)C[C@@H](C)[C@H]1CC[C@@]2(C)[C@@H]3CC[C@H]4[C@H](C)[C@@H](O[C@@H]5OC[C@H](O)[C@H](O)[C@H]5O)CC[C@]4(O)CC3=CC[C@]12C,5.113509274827518,Active,C1=C2CC3CC[C@H](O[C@H]4CCCCO4)C[C@@H]3CC[C@H]2C2CCCC2C1
CHEMBL3382914,Antileishmanial activity against Leishmania infantum MHOM/MA (BE)/67 infected in primary peritoneal mouse macrophages assessed as reduction in parasite burdun,F,Cc1cc(Br)cc(C)c1Nc1nc(N)nc(Nc2ccc(C#N)cc2)n1,CHEMBL3352040,CHEMBL3338023,5.01,=,=,IC50,nM,9830.0,CHEMBL612848,IC50,uM,9.83,L_infantum,Leishmania infantum,ChEMBL,Cc1cc(Br)cc(C)c1Nc1nc(N)nc(Nc2ccc(C#N)cc2)n1,5.007446482167865,Active,c1ccc(Nc2ncnc(Nc3ccccc3)n2)cc1
