descriptor,mi_freq,rf_freq,mean_freq
VSA_EState4,0.0,0.0,0.0
VSA_EState3,0.0,0.0,0.0
EState_VSA9,0.0,0.0,0.0
EState_VSA8,0.0,0.0,0.0
EState_VSA7,0.0,0.0,0.0
EState_VSA6,0.0,0.0,0.0
EState_VSA5,0.0,0.0,0.0
EState_VSA4,0.0,0.0,0.0
EState_VSA3,0.0,0.0,0.0
n10FRing,0.0,0.0,0.0
n9FRing,0.0,0.0,0.0
nFRing,0.0,0.0,0.0
n5AHRing,0.0,0.0,0.0
n6ARing,0.0,0.0,0.0
n5ARing,0.0,0.0,0.0
nARing,0.0,0.0,0.0
n6aHRing,0.0,0.0,0.0
naHRing,0.0,0.0,0.0
n6aRing,0.0,0.0,0.0
n6HRing,0.0,0.0,0.0
nHRing,0.0,0.0,0.0
n6Ring,0.0,0.0,0.0
n5Ring,0.0,0.0,0.0
n4Ring,0.0,0.0,0.0
piPC10,0.0,0.0,0.0
nF,0.0,0.0,0.0
nS,0.0,0.0,0.0
SRW05,0.0,0.0,0.0
TopoShapeIndex,0.0,0.0,0.0
JGI10,0.0,0.0,0.0
JGI8,0.0,0.0,0.0
JGI7,0.0,0.0,0.0
JGI5,0.0,0.0,0.0
JGI4,0.0,0.0,0.0
JGI3,0.0,0.0,0.0
JGI2,0.0,0.0,0.0
JGI1,0.0,0.0,0.0
GGI10,0.0,0.0,0.0
SpAbs_A,0.0,0.0,0.0
n10FHRing,0.0,0.0,0.0
ATS6s,0.0,0.0,0.0
SpMAD_A,0.0,0.0,0.0
SpMax_A,0.0,0.0,0.0
nAcid,0.0,0.0,0.0
nBase,0.0,0.0,0.0
TSRW10,0.0,0.0,0.0
GGI6,0.0,0.0,0.0
GGI3,0.0,0.0,0.0
TopoPSA(NO),0.0,0.0,0.0
SLogP,0.0,0.0,0.0
n10FARing,0.0,0.0,0.0
n9FARing,0.0,0.0,0.0
nFARing,0.0,0.0,0.0
n10FaHRing,0.0,0.0,0.0
nFaHRing,0.0,0.0,0.0
n10FaRing,0.0,0.0,0.0
GGI9,0.0,0.0,0.0
